molecule_chembl_id,smiles,standard_units,pIC50,pKi
CHEMBL413376,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)[O-])c5cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c45)ccc3C)c2)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],nM,5.187086643357144,
CHEMBL413552,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c(O)c(O)c12,nM,5.906578314837765,
CHEMBL416639,CCCCCn1sc2ccccc2c1=O,nM,6.3872161432802645,
CHEMBL4175014,CCCOc1ccc(-c2cc(OCCN3CCc4cc(OC)c(OC)cc4C3)c3c(OC)cc(OC)cc3n2)cc1,nM,6.376750709602099,
CHEMBL418052,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,nM,6.657577319177793,
CHEMBL4289483,O=C(Cc1cncc(Br)c1)c1ccc(-c2ccc(Cl)cc2)o1,nM,4.886056647693163,
CHEMBL4441971,O=C(/C=C/c1ccccc1)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NCc1ccccc1,nM,6.543633966870957,
CHEMBL445978,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1,nM,4.42021640338319,
CHEMBL446118,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)Cn1[nH]c(=O)c2c([N+](=O)[O-])cccc2c1=O)C(C)OCc1ccccc1)C(C)C,nM,4.154901959985743,
CHEMBL45016,O=c1c2ccccc2sn1CCO,nM,6.3872161432802645,
CHEMBL45152,O=c1c2ccccc2sn1-c1ccccc1,nM,6.508638306165727,
CHEMBL4518490,CCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,nM,5.503070351926785,
CHEMBL4526128,O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)c1cc(-c2ccccc2)c(=O)n2c1sc1ccc(OC3CCCCC3)cc12,nM,4.559090917934782,
CHEMBL454129,CC1(C)OC2=C(C(=O)C(=O)c3ccccc32)C1n1cc(-c2ccccc2)nn1,nM,5.769551078621726,
CHEMBL4552531,O=C(O)CCn1[se]c2ccccc2c1=O,nM,6.455931955649724,
CHEMBL4590273,Cc1cccc2nc(CSC(=S)NCc3cccnc3)cn12,nM,6.304226556967486,
CHEMBL460499,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,nM,5.866461091629782,
CHEMBL464006,CC(C)=CCc1c(-c2ccc(O)cc2O)oc2c3c(cc(O)c2c1=O)OC(C)(C)C=C3,nM,4.474955192963154,
CHEMBL464274,O=C(/C=C/CCc1ccc(O)c(O)c1)CCc1ccc(O)c(O)c1,nM,5.3872161432802645,
CHEMBL468553,O=C(Oc1cncc(Cl)c1)c1cccs1,nM,6.309508581992132,
CHEMBL468971,C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)NN(CC(N)=O)C(=O)/C=C/C(=O)c1ccccc1,nM,6.309803919971486,
CHEMBL472940,Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12,nM,5.628932137728264,
CHEMBL4764751,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1cccc(F)c1)NC(=O)c1cc2ccccc2[nH]1,nM,6.971632116302938,
CHEMBL477164,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)/C=C/c1ccc(Cl)cc1F,nM,6.987162775294828,
CHEMBL4777223,COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)CO)cc12,nM,7.771984824898212,
CHEMBL4779667,O=c1c2ccccc2[se]n1CCN1CCOCC1,nM,6.619788758288394,
CHEMBL4783878,O=c1c2ccccc2[se]n1CCO,nM,6.187086643357144,
CHEMBL478401,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,nM,7.0,
CHEMBL4796938,O=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1,nM,7.1202591817893515,
CHEMBL4802135,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,nM,7.141387619450531,
CHEMBL4845924,COc1ccccc1CNC(=O)CSc1c[nH]c2c(-c3ccccc3)cccc12,nM,5.717831221695358,
CHEMBL4846173,O=C(CSc1c[nH]c2cc(Br)ccc12)NCc1ccc(Cl)c(Cl)c1,nM,5.059981844992337,
CHEMBL4848534,Cn1cc(SCC(=O)NCc2ccccc2)c2ccccc21,nM,4.5699249444480605,
CHEMBL4850298,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,nM,6.514988785421427,
